ID,Title,Year,Genre,Rating,Director,Stars
65,3 Idiots,2009,"Comedy, Drama",8.4,Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh"
94,Inglourious Basterds,2009,"Adventure, Drama, War",8.3,Quentin Tarantino,"Brad Pitt, Diane Kruger, Eli Roth"
144,El secreto de sus ojos,2009,"Drama, Mystery, Romance",8.2,Juan José Campanella,"Ricardo Darín, Soledad Villamil, Pablo Rago"
147,Up,2009,"Animation, Adventure, Comedy",8.2,Pete Docter,"Bob Peterson, Edward Asner, Jordan Nagai"
229,Hachi: A Dog's Tale,2009,"Biography, Drama, Family",8.1,Lasse Hallström,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa"
230,Mary and Max,2009,"Animation, Comedy, Drama",8.1,Adam Elliot,"Toni Collette, Philip Seymour Hoffman, Eric Bana"
354,Nefes: Vatan Sagolsun,2009,"Action, Drama, Thriller",8.0,Levent Semerci,"Erdem Can, Mete Horozoglu, Ilker Kizmaz"
351,Dev.D,2009,"Drama, Romance",8.0,Anurag Kashyap,"Abhay Deol, Mahie Gill, Kalki Koechlin"
350,Darbareye Elly,2009,"Drama, Mystery",8.0,Asghar Farhadi,"Golshifteh Farahani, Shahab Hosseini, Taraneh Alidoosti"
486,Un prophète,2009,"Crime, Drama",7.9,Jacques Audiard,"Tahar Rahim, Niels Arestrup, Adel Bencherif"
487,Moon,2009,"Drama, Mystery, Sci-Fi",7.9,Duncan Jones,"Sam Rockwell, Kevin Spacey, Dominique McElligott"
489,District 9,2009,"Action, Sci-Fi, Thriller",7.9,Neill Blomkamp,"Sharlto Copley, David James, Jason Cope"
494,Star Trek,2009,"Action, Adventure, Sci-Fi",7.9,J.J. Abrams,"Chris Pine, Zachary Quinto, Simon Pegg"
500,Fantastic Mr. Fox,2009,"Animation, Adventure, Comedy",7.9,Wes Anderson,"George Clooney, Meryl Streep, Bill Murray"
608,Madeo,2009,"Crime, Drama, Mystery",7.8,Bong Joon Ho,"Hye-ja Kim, Won Bin, Jin Goo"
625,Mr. Nobody,2009,"Drama, Fantasy, Romance",7.8,Jaco Van Dormael,"Jared Leto, Sarah Polley, Diane Kruger"
624,Avatar,2009,"Action, Adventure, Fantasy",7.8,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver"
612,Män som hatar kvinnor,2009,"Crime, Drama, Mystery",7.8,Niels Arden Oplev,"Michael Nyqvist, Noomi Rapace, Ewa Fröling"
611,Das weiße Band - Eine deutsche Kindergeschichte,2009,"Drama, History, Mystery",7.8,Michael Haneke,"Christian Friedel, Ernst Jacobi, Leonie Benesch"
751,The Hangover,2009,Comedy,7.7,Todd Phillips,"Zach Galifianakis, Bradley Cooper, Justin Bartha"
755,(500) Days of Summer,2009,"Comedy, Drama, Romance",7.7,Marc Webb,"Zooey Deschanel, Joseph Gordon-Levitt, Geoffrey Arend"
784,Coraline,2009,"Animation, Drama, Family",7.7,Henry Selick,"Dakota Fanning, Teri Hatcher, John Hodgman"
910,Celda 211,2009,"Action, Adventure, Crime",7.6,Daniel Monzón,"Luis Tosar, Alberto Ammann, Antonio Resines"
913,Zombieland,2009,"Adventure, Comedy, Fantasy",7.6,Ruben Fleischer,"Jesse Eisenberg, Emma Stone, Woody Harrelson"
915,Sherlock Holmes,2009,"Action, Adventure, Mystery",7.6,Guy Ritchie,"Robert Downey Jr., Jude Law, Rachel McAdams"
916,The Blind Side,2009,"Biography, Drama, Sport",7.6,John Lee Hancock,"Quinton Aaron, Sandra Bullock, Tim McGraw"
921,The Secret of Kells,2009,"Animation, Adventure, Family",7.6,Tomm Moore,"Nora Twomey, Evan McGuire, Brendan Gleeson"
928,Harry Potter and the Half-Blood Prince,2009,"Action, Adventure, Family",7.6,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint"
931,Watchmen,2009,"Action, Drama, Mystery",7.6,Zack Snyder,"Jackie Earle Haley, Patrick Wilson, Carla Gugino"
